"","date","month","weekday","time","flow","holiday"
"249",2019-01-11,"01","Freitag","08",1223,0
"250",2019-01-11,"01","Freitag","09",853,0
"251",2019-01-11,"01","Freitag","10",708,0
"252",2019-01-11,"01","Freitag","11",818,0
"253",2019-01-11,"01","Freitag","12",742,0
"254",2019-01-11,"01","Freitag","13",806,0
"255",2019-01-11,"01","Freitag","14",841,0
"256",2019-01-11,"01","Freitag","15",946,0
"257",2019-01-11,"01","Freitag","16",1039,0
"258",2019-01-11,"01","Freitag","17",1085,0
"259",2019-01-11,"01","Freitag","18",1047,0
"260",2019-01-11,"01","Freitag","19",661,0
"261",2019-01-11,"01","Freitag","20",432,0
"262",2019-01-11,"01","Freitag","21",362,0
"263",2019-01-11,"01","Freitag","22",385,0
"264",2019-01-11,"01","Freitag","23",367,0
"265",2019-01-12,"01","Samstag","00",198,0
"266",2019-01-12,"01","Samstag","01",132,0
"267",2019-01-12,"01","Samstag","02",104,0
"268",2019-01-12,"01","Samstag","03",80,0
"269",2019-01-12,"01","Samstag","04",95,0
"270",2019-01-12,"01","Samstag","05",95,0
"271",2019-01-12,"01","Samstag","06",155,0
"272",2019-01-12,"01","Samstag","07",234,0
"273",2019-01-12,"01","Samstag","08",394,0
"274",2019-01-12,"01","Samstag","09",524,0
"275",2019-01-12,"01","Samstag","10",620,0
"276",2019-01-12,"01","Samstag","11",708,0
"277",2019-01-12,"01","Samstag","12",769,0
"278",2019-01-12,"01","Samstag","13",734,0
"279",2019-01-12,"01","Samstag","14",769,0
"280",2019-01-12,"01","Samstag","15",782,0
"281",2019-01-12,"01","Samstag","16",781,0
"282",2019-01-12,"01","Samstag","17",798,0
"283",2019-01-12,"01","Samstag","18",696,0
"284",2019-01-12,"01","Samstag","19",455,0
"285",2019-01-12,"01","Samstag","20",356,0
"286",2019-01-12,"01","Samstag","21",352,0
"287",2019-01-12,"01","Samstag","22",365,0
"288",2019-01-12,"01","Samstag","23",367,0
"289",2019-01-13,"01","Sonntag","00",229,0
"290",2019-01-13,"01","Sonntag","01",160,0
"291",2019-01-13,"01","Sonntag","02",114,0
"292",2019-01-13,"01","Sonntag","03",79,0
"293",2019-01-13,"01","Sonntag","04",83,0
"294",2019-01-13,"01","Sonntag","05",46,0
"295",2019-01-13,"01","Sonntag","06",87,0
"296",2019-01-13,"01","Sonntag","07",101,0
"297",2019-01-13,"01","Sonntag","08",164,0
"298",2019-01-13,"01","Sonntag","09",312,0
"299",2019-01-13,"01","Sonntag","10",448,0
"300",2019-01-13,"01","Sonntag","11",526,0
"301",2019-01-13,"01","Sonntag","12",575,0
"302",2019-01-13,"01","Sonntag","13",698,0
"303",2019-01-13,"01","Sonntag","14",713,0
"304",2019-01-13,"01","Sonntag","15",690,0
"305",2019-01-13,"01","Sonntag","16",776,0
"306",2019-01-13,"01","Sonntag","17",778,0
"307",2019-01-13,"01","Sonntag","18",627,0
"308",2019-01-13,"01","Sonntag","19",435,0
"309",2019-01-13,"01","Sonntag","20",346,0
"310",2019-01-13,"01","Sonntag","21",315,0
"311",2019-01-13,"01","Sonntag","22",203,0
"312",2019-01-13,"01","Sonntag","23",119,0
"313",2019-01-14,"01","Montag","00",33,0
"314",2019-01-14,"01","Montag","01",34,0
"315",2019-01-14,"01","Montag","02",14,0
"316",2019-01-14,"01","Montag","03",17,0
"317",2019-01-14,"01","Montag","04",39,0
"318",2019-01-14,"01","Montag","05",184,0
"319",2019-01-14,"01","Montag","06",890,0
"320",2019-01-14,"01","Montag","07",1297,0
"321",2019-01-14,"01","Montag","08",1227,0
"322",2019-01-14,"01","Montag","09",758,0
"323",2019-01-14,"01","Montag","10",716,0
"324",2019-01-14,"01","Montag","11",685,0
"325",2019-01-14,"01","Montag","12",648,0
"326",2019-01-14,"01","Montag","13",794,0
"327",2019-01-14,"01","Montag","14",727,0
"328",2019-01-14,"01","Montag","15",841,0
"329",2019-01-14,"01","Montag","16",1033,0
"330",2019-01-14,"01","Montag","17",1284,0
"331",2019-01-14,"01","Montag","18",995,0
"332",2019-01-14,"01","Montag","19",617,0
"333",2019-01-14,"01","Montag","20",409,0
"334",2019-01-14,"01","Montag","21",358,0
"335",2019-01-14,"01","Montag","22",284,0
"336",2019-01-14,"01","Montag","23",176,0
"337",2019-01-15,"01","Dienstag","00",59,0
"338",2019-01-15,"01","Dienstag","01",33,0
"339",2019-01-15,"01","Dienstag","02",20,0
"340",2019-01-15,"01","Dienstag","03",26,0
"341",2019-01-15,"01","Dienstag","04",40,0
"342",2019-01-15,"01","Dienstag","05",208,0
"343",2019-01-15,"01","Dienstag","06",911,0
"344",2019-01-15,"01","Dienstag","07",1258,0
"345",2019-01-15,"01","Dienstag","08",1297,0
"346",2019-01-15,"01","Dienstag","09",871,0
"347",2019-01-15,"01","Dienstag","10",714,0
"348",2019-01-15,"01","Dienstag","11",789,0
"349",2019-01-15,"01","Dienstag","12",703,0
"350",2019-01-15,"01","Dienstag","13",808,0
"351",2019-01-15,"01","Dienstag","14",807,0
"352",2019-01-15,"01","Dienstag","15",934,0
"353",2019-01-15,"01","Dienstag","16",1102,0
"354",2019-01-15,"01","Dienstag","17",1294,0
"355",2019-01-15,"01","Dienstag","18",1135,0
"356",2019-01-15,"01","Dienstag","19",729,0
"357",2019-01-15,"01","Dienstag","20",437,0
"358",2019-01-15,"01","Dienstag","21",412,0
"359",2019-01-15,"01","Dienstag","22",349,0
"360",2019-01-15,"01","Dienstag","23",223,0
"361",2019-01-16,"01","Mittwoch","00",61,0
"362",2019-01-16,"01","Mittwoch","01",43,0
"363",2019-01-16,"01","Mittwoch","02",19,0
"364",2019-01-16,"01","Mittwoch","03",17,0
"365",2019-01-16,"01","Mittwoch","04",49,0
"366",2019-01-16,"01","Mittwoch","05",188,0
"367",2019-01-16,"01","Mittwoch","06",866,0
"368",2019-01-16,"01","Mittwoch","07",1257,0
"369",2019-01-16,"01","Mittwoch","08",1282,0
"370",2019-01-16,"01","Mittwoch","09",844,0
"371",2019-01-16,"01","Mittwoch","10",726,0
"372",2019-01-16,"01","Mittwoch","11",447,0
"373",2019-01-16,"01","Mittwoch","12",774,0
"374",2019-01-16,"01","Mittwoch","13",806,0
"375",2019-01-16,"01","Mittwoch","14",875,0
"376",2019-01-16,"01","Mittwoch","15",891,0
"377",2019-01-16,"01","Mittwoch","16",1073,0
"378",2019-01-16,"01","Mittwoch","17",1214,0
"379",2019-01-16,"01","Mittwoch","18",1169,0
"380",2019-01-16,"01","Mittwoch","19",658,0
"381",2019-01-16,"01","Mittwoch","20",456,0
"382",2019-01-16,"01","Mittwoch","21",410,0
"383",2019-01-16,"01","Mittwoch","22",392,0
"384",2019-01-16,"01","Mittwoch","23",248,0
"385",2019-01-17,"01","Donnerstag","00",98,0
"386",2019-01-17,"01","Donnerstag","01",47,0
"387",2019-01-17,"01","Donnerstag","02",24,0
"388",2019-01-17,"01","Donnerstag","03",20,0
"389",2019-01-17,"01","Donnerstag","04",39,0
"390",2019-01-17,"01","Donnerstag","05",196,0
"391",2019-01-17,"01","Donnerstag","06",881,0
"392",2019-01-17,"01","Donnerstag","07",1296,0
"393",2019-01-17,"01","Donnerstag","08",1207,0
"394",2019-01-17,"01","Donnerstag","09",841,0
"395",2019-01-17,"01","Donnerstag","10",726,0
"396",2019-01-17,"01","Donnerstag","11",787,0
